"first","last","seasons","games","AB","runs","hits","doubles","triples","HR","RBI","BB","SO","BA","OBP","SP","AP","BR","ABRuns","Runs.Created","SB","CS","Stolen.Base.Runs","Fielding.Average","Fielding.Runs","Primary.Position.Played","Total.Player.Rating","Hall.Fame.Membership"
"BRUCE","EDWARDS",10,591,1675,191,429,67,20,39,241,190,156,0.256,0.335,0.39,93,-11,-17,217,335,65,NA,0.982,-3,"C",0.1,"not a member"
"HANK","EDWARDS",11,735,2191,285,613,116,41,51,276,208,239,0.28,0.343,0.44,119,38,46,340,335,57,NA,0.981,-31,"O",-2.1,"not a member"
"JOHNNY","EDWARDS",14,1470,4577,430,1106,202,32,81,524,465,547,0.242,0.314,0.353,85,-84,-92,515,54,58,30,0.992,97,"C",6.1,"not a member"
"TOM","EGAN",10,373,979,74,196,25,3,22,91,80,307,0.2,0.267,0.299,62,-51,-49,83,107,3,32,0.987,35,"C",0,"not a member"
"KID","ELBERFELD",14,1292,4561,647,1235,169,56,10,535,427,364,0.271,0.352,0.339,104,60,41,645,120,NA,NA,0.92,45,"S",12.4,"not a member"
"BOB","ELLIOTT",15,1978,7141,1064,2061,382,94,170,1195,967,527,0.289,0.375,0.44,124,245,250,1206,294,53,NA,0.947,-37,"3",18.5,"not a member"
"JOHN","ELLIS",13,883,2672,259,699,116,13,69,391,190,368,0.262,0.315,0.392,99,-14,-9,317,293,4,25,0.989,-45,"1",-6.9,"not a member"
"BONES","ELY",14,1341,5159,655,1331,149,68,24,586,257,32,0.258,0.295,0.327,70,-228,-213,588,69,NA,NA,0.923,41,"S",-9.7,"not a member"
"WOODY","ENGLISH",12,1261,4746,801,1356,236,52,32,422,571,479,0.286,0.366,0.378,95,-12,-14,690,286,NA,NA,0.957,-31,"S",5,"not a member"
"DEL","ENNIS",14,1903,7254,985,2063,358,69,288,1284,597,602,0.284,0.341,0.472,117,139,151,1137,255,51,NA,0.969,28,"O",8.5,"not a member"
"SAMMY","ESPOSITO",10,560,792,130,164,27,2,8,73,145,76,0.207,0.333,0.277,66,-33,-33,81,308,110,13,0.957,51,"3",2.4,"not a member"
"JIM","ESSIAN",12,710,1855,194,453,85,3,33,207,231,146,0.244,0.33,0.347,90,-28,-21,214,335,30,26,0.984,63,"C",5.5,"not a member"
"DUDE","ESTERBROOK",11,701,2837,387,741,120,34,6,203,70,79,0.261,0.284,0.334,95,-18,-18,297,281,NA,NA,0.884,-2,"3",-2.7,"not a member"
"ANDY","ETCHEBARREN",15,948,2618,245,615,101,17,49,309,246,473,0.235,0.308,0.343,88,-44,-40,268,33,37,26,0.987,32,"C",2.9,"not a member"
"AL","EVANS",12,704,2053,188,514,70,23,13,211,243,186,0.25,0.332,0.326,82,-59,-49,234,44,131,2,0.979,-56,"C",-6.7,"not a member"
"DARRELL","EVANS",21,2687,8973,1344,2223,329,36,414,1354,1605,101,0.248,0.364,0.431,119,268,266,1499,346,108,4,0.946,161,"3",35.2,"not a member"
"DWIGHT","EVANS",20,2606,8996,1470,2446,483,73,385,1384,1391,143,0.272,0.373,0.47,126,418,351,1611,321,98,5,0.987,76,"O",32.8,"not a member"
"JOE","EVANS",11,733,2043,306,529,71,31,3,210,212,122,0.259,0.329,0.328,79,-49,-58,247,299,44,NA,0.971,5,"O",-6,"not a member"
"JOHNNY","EVERS",18,1784,6137,919,1659,216,70,12,538,778,104,0.27,0.356,0.334,106,80,74,875,198,121,NA,0.955,55,"2",13.6,"selected by members"
"HOOT","EVERS",12,1142,3801,556,1055,187,41,98,565,415,387,0.278,0.353,0.426,106,41,29,578,255,73,29,0.983,-4,"O",-3.2,"not a member"
"BUCK","EWING",18,1315,5363,1129,1625,250,178,71,883,392,269,0.303,0.351,0.456,131,212,197,1022,216,NA,NA,0.931,103,"C",30.6,"selected by members"
"BILL","FAHEY",11,383,934,75,225,26,2,7,83,74,703,0.241,0.298,0.296,69,-40,-36,87,335,53,44,0.989,11,"C",-1.4,"not a member"
"RON","FAIRLY",21,2442,7184,931,1913,307,33,215,1044,1052,680,0.266,0.363,0.408,117,170,187,1107,212,70,30,0.991,-26,"1",3.5,"not a member"
"BIBB","FALK",12,1353,4652,655,1463,300,59,69,784,412,253,0.314,0.372,0.449,113,71,81,775,258,87,9,0.967,-4,"O",-1.7,"not a member"
"DUKE","FARRELL",18,1563,5679,826,1563,211,123,51,912,477,222,0.275,0.337,0.383,100,4,-4,818,55,NA,NA,0.938,94,"C",15.6,"not a member"
"JACK","FARRELL",11,884,3613,584,877,148,55,23,370,197,185,0.243,0.283,0.333,95,-32,-19,378,331,NA,NA,0.899,-38,"2",-2.7,"not a member"
"JOE","FERGUSON",14,1013,3001,407,719,121,11,122,445,562,530,0.24,0.361,0.409,117,66,80,465,126,23,2,0.987,-41,"C",5.8,"not a member"
"RICK","FERRELL",18,1884,6028,687,1692,324,45,28,734,931,251,0.281,0.378,0.363,95,-8,-14,888,178,72,5,0.984,20,"C",10.3,"selected by members"
"CHICK","FEWSTER",11,644,1963,282,506,91,12,6,167,240,239,0.258,0.346,0.326,77,-58,-60,230,286,85,NA,0.945,-43,"2",-11,"not a member"
"LOU","FINNEY",15,1270,4631,643,1329,203,85,31,494,329,165,0.287,0.336,0.388,88,-88,-90,599,234,83,NA,0.961,-22,"O",-18.4,"not a member"
"MIKE","FISCHLIN",10,517,941,109,207,29,6,3,68,92,104,0.22,0.293,0.273,57,-53,-53,85,142,30,2,0.959,63,"S",2.8,"not a member"
"ED","FITZGERALD",12,807,2086,199,542,82,10,19,217,185,211,0.26,0.324,0.336,80,-60,-56,223,335,99,NA,0.975,-48,"C",-8,"not a member"
"MIKE","FITZGERALD",10,848,2316,220,545,95,9,48,293,292,396,0.235,0.323,0.346,87,-39,-36,264,189,54,22,0.99,-22,"C",-2.1,"not a member"
"MAX","FLACK",12,1411,5252,783,1461,212,72,35,391,474,228,0.278,0.342,0.366,100,10,8,706,109,112,NA,0.972,-12,"O",-10.5,"not a member"
"IRA","FLAGSTEAD",13,1218,4139,644,1202,262,50,40,450,467,262,0.29,0.37,0.407,103,15,22,638,310,97,NA,0.974,59,"O",0.5,"not a member"
"TIM","FLANNERY",11,972,2473,255,631,77,25,9,209,277,268,0.255,0.338,0.317,86,-48,-38,279,126,57,28,0.982,-47,"2",-7.6,"not a member"
"ART","FLETCHER",13,1533,5541,684,1534,238,77,32,675,203,319,0.277,0.319,0.365,100,-14,-14,680,63,63,NA,0.939,166,"S",26.3,"not a member"
"ELBIE","FLETCHER",12,1415,4879,723,1323,228,58,79,616,851,447,0.271,0.384,0.39,118,133,148,796,195,NA,NA,0.993,33,"1",8,"not a member"
"ELMER","FLICK",13,1483,5597,948,1752,268,164,48,756,597,NA,0.313,0.389,0.445,149,342,350,1141,203,NA,NA,0.947,24,"O",28.6,"selected by members"
"SILVER","FLINT",12,743,2852,376,682,129,34,21,294,53,421,0.239,0.253,0.33,78,-57,-82,254,4,NA,NA,0.913,19,"C",-2.3,"not a member"
"CURT","FLOOD",15,1759,6357,851,1861,271,44,85,636,444,532,0.293,0.344,0.389,99,38,-2,844,332,114,10,0.987,65,"O",-3.4,"not a member"
"JAKE","FLOWERS",10,583,1693,229,433,75,18,16,201,190,96,0.256,0.333,0.35,80,-47,-46,206,288,53,NA,0.967,-34,"2",-5.4,"not a member"
"DOUG","FLYNN",11,1308,3853,288,918,115,39,7,284,151,294,0.238,0.267,0.294,57,-234,-224,285,108,54,27,0.986,33,"2",-12.9,"not a member"
"HANK","FOILES",11,608,1455,171,353,59,10,46,166,170,270,0.243,0.323,0.392,92,-20,-17,185,183,110,22,0.986,35,"C",3.5,"not a member"
"TIM","FOLI",16,1696,6047,576,1515,241,20,25,501,265,363,0.251,0.286,0.309,64,-284,-297,527,325,94,30,0.973,74,"S",-5.6,"not a member"
"LEW","FONSECA",12,937,3404,518,1075,203,50,31,485,186,181,0.316,0.355,0.432,103,14,11,524,299,73,13,0.994,-3,"1",-2.2,"not a member"
"BARRY","FOOTE",10,687,2127,191,489,103,10,57,230,136,261,0.23,0.279,0.368,75,-67,-80,209,4,99,2,0.985,31,"C",-2.9,"not a member"
"DAVY","FORCE",10,768,2950,323,623,80,15,1,209,131,236,0.211,0.245,0.249,58,-134,-136,189,335,NA,NA,0.908,96,"S",-1.5,"not a member"
"DAN","FORD",11,1153,4163,598,1123,214,38,121,566,303,604,0.27,0.326,0.427,108,38,40,556,295,74,25,0.974,-17,"O",-1.9,"not a member"
"HOD","FORD",15,1446,4833,484,1269,200,55,16,494,351,325,0.263,0.316,0.337,72,-207,-191,517,118,63,NA,0.96,54,"S",-4.5,"not a member"
"RAY","FOSSE",12,924,2957,299,758,117,13,61,324,203,335,0.256,0.308,0.367,90,-40,-44,325,54,51,28,0.985,28,"C",1.3,"not a member"
"EDDIE","FOSTER",13,1500,5652,732,1490,191,71,6,451,528,230,0.264,0.329,0.326,89,-80,-81,652,103,92,NA,0.93,-42,"3",-8,"not a member"
"GEORGE","FOSTER",18,1977,7023,986,1925,307,47,348,1239,666,103,0.274,0.341,0.48,127,229,231,1129,272,68,22,0.984,65,"O",22.8,"not a member"
"BOB","FOTHERGILL",12,1106,3269,453,1064,225,52,36,582,202,154,0.325,0.368,0.459,115,58,64,537,239,91,12,0.961,-53,"O",-5.4,"not a member"
"JACK","FOURNIER",15,1530,5208,822,1631,252,113,136,859,587,373,0.313,0.392,0.483,143,285,302,1010,49,136,NA,0.984,20,"1",23.4,"not a member"
"DAVE","FOUTZ",13,1135,4533,784,1253,186,91,31,548,300,94,0.276,0.323,0.378,104,13,11,671,173,NA,NA,0.977,-15,"1",-4.9,"not a member"
"PETE","FOX",13,1461,5636,895,1678,314,75,65,694,392,430,0.298,0.347,0.415,98,-9,-28,819,62,123,2,0.977,-20,"O",-10.9,"not a member"
"NELLIE","FOX",19,2367,9232,1279,2663,355,112,35,790,719,195,0.288,0.349,0.363,94,-75,-71,1197,319,122,19,0.984,42,"2",11.9,"selected by members"
"JIMMIE","FOXX",20,2317,8134,1751,2646,458,125,534,1922,1452,83,0.325,0.428,0.609,161,803,768,2189,331,113,NA,0.992,30,"1",55.4,"Select by writers"
"TITO","FRANCONA",15,1719,5121,650,1395,224,34,125,656,544,586,0.272,0.346,0.403,108,40,55,734,258,56,33,0.984,-46,"O",-6.9,"not a member"
"TERRY","FRANCONA",10,708,1731,163,474,74,6,16,143,65,58,0.274,0.302,0.351,81,-47,-47,179,24,23,25,0.992,-4,"1",-7.5,"not a member"
"BILL","FREEHAN",15,1774,6073,706,1591,241,35,200,758,626,620,0.262,0.342,0.412,111,120,97,867,142,56,26,0.993,-38,"C",13.4,"not a member"
"BUCK","FREEMAN",11,1126,4208,588,1235,199,131,82,713,272,182,0.293,0.346,0.462,131,170,155,736,339,NA,NA,0.95,-53,"O",4.1,"not a member"
"GENE","FREESE",12,1115,3446,429,877,161,28,115,432,243,478,0.254,0.307,0.418,94,-37,-36,434,272,61,1,0.934,-90,"3",-12.1,"not a member"
"JIM","FREGOSI",18,1902,6523,844,1726,264,78,151,706,715,39,0.265,0.34,0.398,114,83,113,904,319,78,2,0.963,-40,"S",20.1,"not a member"
"LONNY","FREY",14,1535,5517,848,1482,263,69,61,549,752,470,0.269,0.359,0.374,104,43,50,803,10,2,NA,0.973,-18,"2",12,"not a member"
"BERNIE","FRIBERG",14,1299,4169,544,1170,181,44,38,471,471,450,0.281,0.356,0.373,87,-46,-71,564,272,100,NA,0.953,32,"3",-1.3,"not a member"
"FRANKIE","FRISCH",19,2311,9112,1532,2880,466,138,105,1244,728,247,0.316,0.369,0.432,110,158,143,1464,245,115,NA,0.974,150,"2",38.8,"Select by writers"
"TITO","FUENTES",13,1499,5566,610,1491,211,46,45,438,298,496,0.268,0.309,0.347,82,-135,-135,593,324,85,25,0.974,-37,"2",-8.8,"not a member"
"CARL","FURILLO",15,1806,6378,895,1910,324,56,192,1058,514,400,0.299,0.356,0.458,112,136,107,1004,264,61,NA,0.979,22,"O",4,"not a member"
"PHIL","GAGLIANO",12,702,1411,150,336,50,7,14,159,163,163,0.238,0.319,0.313,77,-35,-41,146,268,77,2,0.969,-33,"2",-7.3,"not a member"
"DEL","GAINER",10,548,1608,218,438,75,36,14,185,149,129,0.272,0.342,0.39,113,21,24,232,278,99,NA,0.985,-19,"1",-0.4,"not a member"
"AUGIE","GALAN",16,1742,5937,1004,1706,336,74,100,830,979,359,0.287,0.39,0.419,122,216,211,1064,27,2,NA,0.981,-5,"O",14.7,"not a member"
"CHICK","GALLOWAY",10,1076,3583,391,946,136,46,17,407,274,203,0.264,0.317,0.342,69,-155,-170,401,322,95,NA,0.943,-26,"S",-10.3,"not a member"
"OSCAR","GAMBLE",17,1584,4502,656,1195,188,31,200,666,610,486,0.265,0.358,0.454,127,159,165,766,262,74,29,0.977,-20,"O",10.3,"not a member"
"JIM","GANTNER",17,1801,6189,726,1696,262,38,47,568,383,452,0.274,0.322,0.351,88,-115,-99,689,41,119,27,0.985,50,"2",0.1,"not a member"
"CHARLIE","GANZEL",14,786,2984,421,774,91,45,10,412,161,62,0.259,0.301,0.33,75,-86,-113,327,294,NA,NA,0.934,36,"C",-2,"not a member"
"KIKO","GARCIA",10,619,1470,162,351,56,16,12,112,95,259,0.239,0.287,0.323,70,-66,-59,128,207,57,22,0.961,39,"S",1.9,"not a member"
"DAMASO","GARCIA",11,1032,3914,490,1108,183,27,36,323,130,296,0.283,0.311,0.371,84,-72,-94,435,112,132,70,0.98,-62,"2",-10.4,"not a member"
"BILLY","GARDNER",10,1034,3544,356,841,159,18,41,271,246,403,0.237,0.293,0.327,70,-164,-150,334,97,57,29,0.978,8,"2",-8,"not a member"
"LARRY","GARDNER",17,1923,6688,866,1931,301,129,27,934,654,256,0.289,0.355,0.384,109,90,77,965,70,108,NA,0.948,-39,"3",6.6,"not a member"
"DEBS","GARMS",12,1010,3111,438,910,141,39,17,328,288,135,0.293,0.355,0.379,103,6,14,442,86,121,NA,0.966,-58,"O",-6.5,"not a member"
"PHIL","GARNER",16,1860,6136,780,1594,299,82,109,738,564,663,0.26,0.326,0.389,100,-20,-9,774,130,9,59,0.974,30,"2",7.4,"not a member"
"RALPH","GARR",13,1317,5108,717,1562,212,64,75,408,246,407,0.306,0.34,0.416,106,59,37,716,78,125,44,0.968,-8,"O",-2.1,"not a member"
"WAYNE","GARRETT",10,1092,3285,438,786,107,22,61,340,561,473,0.239,0.352,0.341,95,-11,-5,432,226,66,28,0.956,7,"3",0.5,"not a member"
"STEVE","GARVEY",19,2332,8835,1143,2599,440,43,272,1308,479,7,0.294,0.333,0.446,117,144,168,1233,327,102,5,0.996,-78,"1",-5.8,"not a member"
"CITO","GASTON",11,1026,3120,314,799,106,30,91,387,185,585,0.256,0.3,0.397,95,-43,-30,361,33,110,1,0.97,-10,"O",-8.6,"not a member"
"RICH","GEDMAN",13,1033,3159,331,795,176,12,88,382,236,457,0.252,0.307,0.399,90,-34,-49,381,183,77,13,0.984,20,"C",2,"not a member"
"LOU","GEHRIG",17,2164,8001,1888,2721,534,163,493,1995,1508,640,0.34,0.447,0.632,182,918,966,2312,7,6,23,0.991,-60,"1",61.9,"Select by writers"
"CHARLIE","GEHRINGER",19,2323,8860,1774,2839,574,146,184,1427,1186,342,0.32,0.404,0.48,123,376,339,1781,88,130,33,0.976,33,"2",45.1,"Select by writers"
"GARY","GEIGER",12,954,2569,388,633,91,29,77,283,341,426,0.246,0.339,0.394,98,3,-5,363,297,64,33,0.986,32,"O",-0.8,"not a member"
"WALLY","GERBER",15,1522,5099,558,1309,172,46,7,476,465,328,0.257,0.323,0.313,67,-222,-247,538,243,85,NA,0.943,54,"S",-7.7,"not a member"
"JOE","GERHARDT",12,986,3770,448,854,112,51,7,229,162,167,0.227,0.261,0.289,72,-117,-120,308,223,NA,NA,0.913,173,"2",7.8,"not a member"
"DICK","GERNERT",11,835,2493,357,632,104,8,103,402,363,422,0.254,0.352,0.426,104,40,19,382,4,14,25,0.99,9,"1",-1.1,"not a member"
"CESAR","GERONIMO",15,1522,3780,460,977,161,50,51,392,354,615,0.258,0.327,0.368,93,-37,-36,462,326,78,33,0.988,4,"O",-7.6,"not a member"
"PATSY","GHARRITY",10,676,1961,237,513,92,26,20,249,188,208,0.262,0.331,0.366,90,-37,-28,250,195,30,NA,0.974,-6,"C",-1.6,"not a member"
"JAKE","GIBBS",10,538,1639,157,382,53,8,25,146,120,208,0.233,0.291,0.321,81,-48,-41,152,172,57,26,0.986,8,"C",-1.4,"not a member"
"GEORGE","GIBSON",14,1213,3776,295,893,142,49,15,345,286,86,0.236,0.295,0.312,81,-86,-95,367,239,53,NA,0.977,-16,"C",-0.5,"not a member"
"JIM","GILLIAM",14,1956,7119,1163,1889,304,71,65,558,1036,382,0.265,0.361,0.355,92,-25,-46,992,112,15,27,0.979,-41,"2",-2.8,"not a member"
"BARNEY","GILLIGAN",10,521,1865,215,386,68,23,3,167,147,211,0.207,0.265,0.273,71,-62,-56,141,323,NA,NA,0.912,24,"C",-0.1,"not a member"
"JOE","GINSBERG",13,695,1716,168,414,59,8,20,182,226,92,0.241,0.334,0.32,79,-48,-46,198,308,88,2,0.983,-17,"C",-3.8,"not a member"
"JACK","GLASSCOCK",17,1736,7030,1163,2040,313,98,27,825,439,191,0.29,0.337,0.374,114,103,124,1067,224,NA,NA,0.91,242,"S",37.8,"not a member"
"KID","GLEASON",22,1966,7452,1020,1944,216,80,15,823,500,82,0.261,0.31,0.317,79,-216,-205,897,200,NA,NA,0.938,6,"2",-10.3,"not a member"
"TONY","GONZALEZ",12,1559,5195,690,1485,238,57,103,615,467,593,0.286,0.353,0.413,114,95,100,749,322,101,6,0.987,-46,"O",-2.9,"not a member"
"MIKE","GONZALEZ",17,1042,2829,283,717,123,19,13,263,231,180,0.253,0.314,0.324,81,-73,-71,300,275,4,NA,0.98,45,"C",2.9,"not a member"
"JOHNNY","GOOCH",11,805,2363,227,662,98,29,7,293,206,100,0.28,0.342,0.355,79,-65,-69,292,15,88,NA,0.973,-1,"C",-2.5,"not a member"
"WILBUR","GOOD",11,749,2364,324,609,84,44,9,187,190,219,0.258,0.322,0.342,98,-3,-8,286,9,44,NA,0.942,-8,"O",-5.4,"not a member"
"IVAL","GOODMAN",10,1107,3928,609,1104,188,85,95,525,382,348,0.281,0.352,0.445,120,90,101,641,266,NA,NA,0.975,12,"O",6.9,"not a member"
"BILLY","GOODMAN",16,1623,5644,807,1691,299,44,19,591,669,302,0.3,0.377,0.378,98,49,4,844,223,66,28,0.972,-63,"2",-3.7,"not a member"
"JOE","GORDON",11,1566,5707,914,1530,264,52,253,975,759,591,0.268,0.357,0.466,121,137,150,959,333,100,30,0.97,54,"2",27.7,"not a member"
"SID","GORDON",13,1475,4992,735,1415,220,43,202,805,731,327,0.283,0.377,0.466,130,196,211,889,97,88,NA,0.985,-19,"O",14.3,"not a member"
"GEORGE","GORE",14,1310,5357,1327,1612,262,94,46,618,717,305,0.301,0.386,0.411,136,297,258,945,76,NA,NA,0.876,-15,"O",18.6,"not a member"
"JIM","GOSGER",10,705,1815,197,411,67,16,30,177,217,289,0.226,0.311,0.331,83,-38,-38,199,150,48,22,0.985,-1,"O",-7.1,"not a member"
"GOOSE","GOSLIN",18,2287,8656,1483,2735,500,173,248,1609,949,514,0.316,0.387,0.5,128,341,348,1700,81,130,2,0.96,63,"O",26,"selected by members"
"JULIO","GOTAY",10,389,988,106,257,38,3,6,70,61,76,0.26,0.309,0.323,75,-30,-34,94,24,110,2,0.944,16,"S",0.2,"not a member"
"HANK","GOWDY",17,1050,2735,270,738,124,27,21,322,311,223,0.27,0.351,0.358,105,15,25,372,291,110,NA,0.975,5,"C",9.4,"not a member"
"MIKE","GRADY",11,918,3000,486,881,155,67,35,449,311,365,0.294,0.373,0.425,127,96,109,540,19,NA,NA,0.946,-95,"C",5.6,"not a member"
"ALEX","GRAMMAS",10,913,2073,236,512,90,10,12,163,206,174,0.247,0.32,0.317,67,-84,-96,212,75,37,22,0.968,88,"S",3.3,"not a member"
"JACK","GRANEY",14,1402,4705,706,1178,219,79,18,420,712,316,0.25,0.354,0.342,100,42,18,610,52,73,NA,0.953,-3,"O",-6.3,"not a member"
"EDDIE","GRANT",10,990,3385,399,844,79,30,5,277,233,159,0.249,0.3,0.295,78,-94,-93,347,58,99,NA,0.942,-28,"3",-10.3,"not a member"
"GEORGE","GRANTHAM",13,1444,4989,912,1508,292,93,105,712,717,471,0.302,0.392,0.461,121,185,171,927,36,92,NA,0.949,-109,"2",4.4,"not a member"
"LENNY","GREEN",12,1136,2956,461,788,138,27,47,253,368,235,0.267,0.353,0.379,99,14,3,421,321,79,2,0.984,-95,"O",-13.7,"not a member"
"DICK","GREEN",12,1288,4007,427,960,145,23,80,422,345,636,0.24,0.305,0.347,87,-80,-67,424,158,54,25,0.983,28,"2",4,"not a member"
"HANK","GREENBERG",13,1394,5193,1051,1628,379,71,331,1276,852,664,0.313,0.412,0.605,157,468,440,1331,288,61,NA,0.991,15,"1",31.7,"Select by writers"
"BOBBY","GRICH",17,2008,6890,1033,1833,320,47,224,864,1087,77,0.266,0.373,0.424,25,239,259,1129,9,125,12,0.984,80,"2",43.3,"not a member"
"KEN","GRIFFEY",19,2097,7229,1129,2143,364,77,152,859,719,688,0.296,0.361,0.431,118,181,177,1156,109,125,34,0.981,-13,"O",10.5,"not a member"
"MIKE","GRIFFIN",12,1511,5914,1405,1753,313,108,42,625,809,186,0.296,0.388,0.407,126,201,236,1153,263,NA,NA,0.956,88,"O",21.1,"not a member"
"TOMMY","GRIFFITH",13,1401,4947,589,1383,208,72,52,619,351,237,0.28,0.328,0.382,102,5,7,634,309,80,NA,0.956,-19,"O",-11.2,"not a member"
"JOHN","GRIM",11,706,2638,350,705,119,37,16,296,85,630,0.267,0.302,0.359,83,-87,-63,325,326,NA,NA,0.943,-6,"C",-1.3,"not a member"
"CHARLIE","GRIMM",20,2166,7917,908,2299,394,108,79,1078,578,376,0.29,0.341,0.397,95,-54,-63,1077,286,82,NA,0.993,10,"1",-21,"not a member"
"DICK","GROAT",14,1929,7484,829,2138,352,67,39,707,490,461,0.286,0.332,0.366,89,-95,-110,882,44,62,5,0.961,28,"S",6,"not a member"
"HEINIE","GROH",16,1676,6074,918,1774,308,87,26,566,696,316,0.292,0.373,0.384,119,155,164,915,87,106,NA,0.967,39,"3",26.7,"not a member"
"GREG","GROSS",17,1809,3745,449,1073,130,46,7,308,523,225,0.287,0.375,0.351,103,38,37,511,234,82,8,0.982,-49,"O",-6.9,"not a member"
"WAYNE","GROSS",11,1106,3125,373,727,126,9,121,396,482,448,0.233,0.339,0.395,106,13,31,443,142,57,27,0.941,-96,"3",-9.3,"not a member"
"JERRY","GROTE",16,1421,4339,352,1092,160,22,39,404,399,525,0.252,0.318,0.326,83,-102,-92,443,54,58,30,0.991,86,"C",4.8,"not a member"
"JOHNNY","GROTH",15,1248,3808,480,1064,197,31,60,486,419,302,0.279,0.353,0.395,99,4,-5,528,97,80,14,0.987,-40,"O",-11,"not a member"
"JOHNNY","GRUBB",16,1424,4154,553,1153,207,29,99,475,566,494,0.278,0.369,0.413,121,105,127,658,167,70,5,0.981,-46,"O",3.4,"not a member"
"PEDRO","GUERRERO",15,1536,5392,730,1618,267,29,215,898,609,672,0.3,0.374,0.48,138,266,273,974,345,85,33,0.988,-42,"1",17.4,"not a member"
"FRANKIE","GUSTINE",12,1261,4582,553,1214,222,47,38,480,369,391,0.265,0.322,0.359,87,-73,-83,525,294,3,NA,0.955,-33,"2",-6.5,"not a member"
"DON","GUTTERIDGE",12,1151,4202,586,1075,200,64,39,391,309,406,0.256,0.308,0.362,84,-81,-102,484,343,74,NA,0.964,-76,"2",-14.6,"not a member"
"MULE","HAAS",12,1168,4303,706,1257,254,45,43,496,433,273,0.292,0.359,0.402,93,-24,-41,642,24,41,27,0.984,5,"O",-9.9,"not a member"
"STAN","HACK",16,1938,7278,1239,2193,363,81,57,642,1092,426,0.301,0.394,0.397,120,231,235,1241,70,NA,NA,0.957,-4,"3",27.1,"not a member"
"CHICK","HAFEY",13,1283,4625,777,1466,341,67,164,833,372,434,0.317,0.372,0.526,133,212,208,902,309,110,NA,0.971,1,"O",13.2,"selected by members"
"JERRY","HAIRSTON",14,859,1699,216,438,91,6,30,205,282,216,0.258,0.366,0.371,103,21,15,245,238,88,13,0.963,-32,"O",-3.3,"not a member"
"ODELL","HALE",10,1062,3701,551,1071,240,51,73,573,353,288,0.289,0.352,0.441,100,-1,-5,576,286,83,NA,0.959,42,"2",6.6,"not a member"
"SAMMY","HALE",10,883,2915,422,880,157,54,30,392,130,197,0.302,0.336,0.424,93,-27,-42,412,243,54,32,0.939,-33,"3",-3.2,"not a member"
"TOM","HALLER",12,1294,3935,461,1011,153,31,134,504,477,520,0.257,0.342,0.414,114,68,77,567,44,66,7,0.992,-18,"C",11.1,"not a member"
"BILL","HALLMAN",14,1503,6012,937,1634,234,81,21,769,425,257,0.272,0.325,0.348,86,-116,-122,793,109,NA,NA,0.94,-89,"2",-14,"not a member"
"BILLY","HAMILTON",14,1591,6268,1690,2158,242,94,40,736,1187,197,0.344,0.455,0.432,141,484,441,1705,338,NA,NA,0.926,-5,"O",28.7,"selected by members"
"GRANNY","HAMNER",17,1531,5839,711,1529,272,62,104,708,351,396,0.262,0.304,0.383,84,-157,-145,657,212,37,NA,0.946,-139,"S",-18.5,"not a member"
"LEE","HANDLEY",10,968,3356,418,902,122,45,15,297,267,184,0.269,0.323,0.345,84,-73,-73,380,305,NA,NA,0.949,16,"3",-3.5,"not a member"
"LARRY","HANEY",12,480,919,68,198,30,1,12,73,44,151,0.215,0.254,0.289,57,-54,-51,66,183,53,1,0.985,40,"C",0.1,"not a member"
"FRANK","HANKINSON",10,849,3272,410,747,122,39,13,166,170,190,0.228,0.267,0.301,78,-85,-80,283,189,NA,NA,0.875,50,"3",-1.7,"not a member"
"NED","HANLON",13,1267,5074,930,1317,159,79,30,517,471,328,0.26,0.325,0.34,103,15,33,687,201,NA,NA,0.891,14,"O",1.6,"not a member"
"RON","HANSEN",15,1384,4311,446,1007,156,17,106,501,551,553,0.234,0.323,0.351,92,-55,-40,494,335,37,27,0.968,90,"S",14.5,"not a member"
"BUBBLES","HARGRAVE",12,852,2533,314,786,155,58,29,376,217,138,0.31,0.372,0.452,119,60,68,429,178,41,NA,0.983,-50,"C",5.8,"not a member"
"PINKY","HARGRAVE",10,650,1601,177,445,91,16,39,265,140,138,0.278,0.339,0.428,98,-5,-7,241,75,65,NA,0.976,-35,"C",-1.1,"not a member"
"MIKE","HARGROVE",12,1666,5564,783,1614,266,28,80,686,965,489,0.29,0.4,0.391,121,208,206,914,142,74,8,0.991,53,"1",15.6,"not a member"
"TERRY","HARMON",10,547,1125,164,262,31,12,4,72,117,151,0.233,0.312,0.292,69,-43,-44,112,75,14,13,0.989,29,"2",1,"not a member"
"GEORGE","HARPER",11,1073,3398,505,1030,158,43,91,528,389,187,0.303,0.38,0.455,118,103,94,597,288,71,NA,0.957,-5,"O",1.4,"not a member"
"TOMMY","HARPER",15,1810,6269,972,1609,256,36,146,567,753,33,0.257,0.34,0.379,100,41,16,876,242,20,66,0.986,-47,"O",-3.5,"not a member"
"TOBY","HARRAH",17,2155,7402,1115,1954,307,40,195,918,1153,676,0.264,0.368,0.395,114,169,173,1152,141,136,40,0.963,-166,"3",11.4,"not a member"
"BUD","HARRELSON",16,1533,4744,539,1120,136,45,7,267,633,557,0.236,0.329,0.288,75,-142,-133,502,30,100,44,0.969,16,"S",4.1,"not a member"
"JOE","HARRIS",10,970,3035,461,963,201,64,47,517,413,168,0.317,0.404,0.472,131,150,143,595,212,41,NA,0.989,20,"1",11.3,"not a member"
